splits,fold,partition,file,proteins,positives,negatives,off_target,invalid
splits_S_chunked_max,0,train,../data/phosf3c/dbptm/splits_S_chunked_max_fold0/train.fasta,8063,86986,291145,46247,254
splits_S_chunked_max,0,test,../data/phosf3c/dbptm/splits_S_chunked_max_fold0/test.fasta,2016,21896,73493,11025,60
splits_S_chunked_max,1,train,../data/phosf3c/dbptm/splits_S_chunked_max_fold1/train.fasta,8063,87593,290948,45854,175
splits_S_chunked_max,1,test,../data/phosf3c/dbptm/splits_S_chunked_max_fold1/test.fasta,2016,21289,73690,11418,139
splits_S_chunked_max,2,train,../data/phosf3c/dbptm/splits_S_chunked_max_fold2/train.fasta,8063,85399,290996,44299,274
splits_S_chunked_max,2,test,../data/phosf3c/dbptm/splits_S_chunked_max_fold2/test.fasta,2016,23483,73642,12973,40
splits_S_chunked_max,3,train,../data/phosf3c/dbptm/splits_S_chunked_max_fold3/train.fasta,8063,87960,292572,46321,263
splits_S_chunked_max,3,test,../data/phosf3c/dbptm/splits_S_chunked_max_fold3/test.fasta,2016,20922,72066,10951,51
splits_S_chunked_max,4,train,../data/phosf3c/dbptm/splits_S_chunked_max_fold4/train.fasta,8064,87590,292891,46367,290
splits_S_chunked_max,4,test,../data/phosf3c/dbptm/splits_S_chunked_max_fold4/test.fasta,2015,21292,71747,10905,24
splits_ST_chunked_max,0,train,../data/phosf3c/dbptm/splits_ST_chunked_max_fold0/train.fasta,8488,123134,502072,12254,230
splits_ST_chunked_max,0,test,../data/phosf3c/dbptm/splits_ST_chunked_max_fold0/test.fasta,2123,30332,123700,3062,98
splits_ST_chunked_max,1,train,../data/phosf3c/dbptm/splits_ST_chunked_max_fold1/train.fasta,8489,122587,503464,12364,279
splits_ST_chunked_max,1,test,../data/phosf3c/dbptm/splits_ST_chunked_max_fold1/test.fasta,2122,30879,122308,2952,49
splits_ST_chunked_max,2,train,../data/phosf3c/dbptm/splits_ST_chunked_max_fold2/train.fasta,8489,123147,502080,12164,245
splits_ST_chunked_max,2,test,../data/phosf3c/dbptm/splits_ST_chunked_max_fold2/test.fasta,2122,30319,123692,3152,83
splits_ST_chunked_max,3,train,../data/phosf3c/dbptm/splits_ST_chunked_max_fold3/train.fasta,8489,123693,497250,12441,271
splits_ST_chunked_max,3,test,../data/phosf3c/dbptm/splits_ST_chunked_max_fold3/test.fasta,2122,29773,128522,2875,57
splits_ST_chunked_max,4,train,../data/phosf3c/dbptm/splits_ST_chunked_max_fold4/train.fasta,8489,121303,498222,12041,287
splits_ST_chunked_max,4,test,../data/phosf3c/dbptm/splits_ST_chunked_max_fold4/test.fasta,2122,32163,127550,3275,41
splits_STY_chunked_max,0,train,../data/phosf3c/dbptm/splits_STY_chunked_max_fold0/train.fasta,8713,135653,622453,0,225
splits_STY_chunked_max,0,test,../data/phosf3c/dbptm/splits_STY_chunked_max_fold0/test.fasta,2179,34079,151014,0,125
splits_STY_chunked_max,1,train,../data/phosf3c/dbptm/splits_STY_chunked_max_fold1/train.fasta,8713,136170,618769,0,311
splits_STY_chunked_max,1,test,../data/phosf3c/dbptm/splits_STY_chunked_max_fold1/test.fasta,2179,33562,154698,0,39
splits_STY_chunked_max,2,train,../data/phosf3c/dbptm/splits_STY_chunked_max_fold2/train.fasta,8714,135091,611840,0,275
splits_STY_chunked_max,2,test,../data/phosf3c/dbptm/splits_STY_chunked_max_fold2/test.fasta,2178,34641,161627,0,75
splits_STY_chunked_max,3,train,../data/phosf3c/dbptm/splits_STY_chunked_max_fold3/train.fasta,8714,135121,621522,0,282
splits_STY_chunked_max,3,test,../data/phosf3c/dbptm/splits_STY_chunked_max_fold3/test.fasta,2178,34611,151945,0,68
splits_STY_chunked_max,4,train,../data/phosf3c/dbptm/splits_STY_chunked_max_fold4/train.fasta,8714,136893,619284,0,307
splits_STY_chunked_max,4,test,../data/phosf3c/dbptm/splits_STY_chunked_max_fold4/test.fasta,2178,32839,154183,0,43
splits_T_chunked_max,0,train,../data/phosf3c/dbptm/splits_T_chunked_max_fold0/train.fasta,6688,38482,165644,90218,265
splits_T_chunked_max,0,test,../data/phosf3c/dbptm/splits_T_chunked_max_fold0/test.fasta,1672,8781,40983,20786,14
splits_T_chunked_max,1,train,../data/phosf3c/dbptm/splits_T_chunked_max_fold1/train.fasta,6688,37918,165429,88260,207
splits_T_chunked_max,1,test,../data/phosf3c/dbptm/splits_T_chunked_max_fold1/test.fasta,1672,9345,41198,22744,72
splits_T_chunked_max,2,train,../data/phosf3c/dbptm/splits_T_chunked_max_fold2/train.fasta,6688,36892,164461,87203,236
splits_T_chunked_max,2,test,../data/phosf3c/dbptm/splits_T_chunked_max_fold2/test.fasta,1672,10371,42166,23801,43
splits_T_chunked_max,3,train,../data/phosf3c/dbptm/splits_T_chunked_max_fold3/train.fasta,6688,38104,165292,89871,218
splits_T_chunked_max,3,test,../data/phosf3c/dbptm/splits_T_chunked_max_fold3/test.fasta,1672,9159,41335,21133,61
splits_T_chunked_max,4,train,../data/phosf3c/dbptm/splits_T_chunked_max_fold4/train.fasta,6688,37656,165682,88464,190
splits_T_chunked_max,4,test,../data/phosf3c/dbptm/splits_T_chunked_max_fold4/test.fasta,1672,9607,40945,22540,89
splits_Y_chunked_max,0,train,../data/phosf3c/dbptm/splits_Y_chunked_max_fold0/train.fasta,4996,14962,66258,92813,204
splits_Y_chunked_max,0,test,../data/phosf3c/dbptm/splits_Y_chunked_max_fold0/test.fasta,1249,3739,16771,22403,22
splits_Y_chunked_max,1,train,../data/phosf3c/dbptm/splits_Y_chunked_max_fold1/train.fasta,4996,14826,65720,90680,145
splits_Y_chunked_max,1,test,../data/phosf3c/dbptm/splits_Y_chunked_max_fold1/test.fasta,1249,3875,17309,24536,81
