splits,fold,partition,file,proteins,positives,negatives,off_target,invalid
splits_S_chunked_max,0,train,../data/phosf3c/phos/splits_S_chunked_max_fold0/train.fasta,4249,37750,157819,21160,8
splits_S_chunked_max,0,test,../data/phosf3c/phos/splits_S_chunked_max_fold0/test.fasta,1063,9615,41436,5417,1
splits_S_chunked_max,1,train,../data/phosf3c/phos/splits_S_chunked_max_fold1/train.fasta,4249,37416,160347,21496,4
splits_S_chunked_max,1,test,../data/phosf3c/phos/splits_S_chunked_max_fold1/test.fasta,1063,9949,38908,5081,5
splits_S_chunked_max,2,train,../data/phosf3c/phos/splits_S_chunked_max_fold2/train.fasta,4250,38009,159585,21286,7
splits_S_chunked_max,2,test,../data/phosf3c/phos/splits_S_chunked_max_fold2/test.fasta,1062,9356,39670,5291,2
splits_S_chunked_max,3,train,../data/phosf3c/phos/splits_S_chunked_max_fold3/train.fasta,4250,37749,158643,20850,9
splits_S_chunked_max,3,test,../data/phosf3c/phos/splits_S_chunked_max_fold3/test.fasta,1062,9616,40612,5727,0
splits_S_chunked_max,4,train,../data/phosf3c/phos/splits_S_chunked_max_fold4/train.fasta,4250,38536,160626,21516,8
splits_S_chunked_max,4,test,../data/phosf3c/phos/splits_S_chunked_max_fold4/test.fasta,1062,8829,38629,5061,1
splits_ST_chunked_max,0,train,../data/phosf3c/phos/splits_ST_chunked_max_fold0/train.fasta,4432,51104,269622,8266,7
splits_ST_chunked_max,0,test,../data/phosf3c/phos/splits_ST_chunked_max_fold0/test.fasta,1108,13970,70832,2076,2
splits_ST_chunked_max,1,train,../data/phosf3c/phos/splits_ST_chunked_max_fold1/train.fasta,4432,52546,271478,8323,7
splits_ST_chunked_max,1,test,../data/phosf3c/phos/splits_ST_chunked_max_fold1/test.fasta,1108,12528,68976,2019,2
splits_ST_chunked_max,2,train,../data/phosf3c/phos/splits_ST_chunked_max_fold2/train.fasta,4432,51645,271708,8031,8
splits_ST_chunked_max,2,test,../data/phosf3c/phos/splits_ST_chunked_max_fold2/test.fasta,1108,13429,68746,2311,1
