Q9HBQ8	Q9HBQ8
Q9CQ56	Q9CQ56
Q9CQ56	Q9NZ43
P62894	P62894
P62894	P00004
P62894	P62897
P62894	P62895
P62894	P99999
P62894	P62898
P62894	P00015
P62894	P10715
Q6ZWN5	Q6ZWN5
Q6ZWN5	P29314
Q6ZWN5	P46781
P46778	P46778
P46778	XP_001071893
P46778	XP_916594
P46778	D4A870
P46778	D3ZQ96
P46778	XP_001074199
P46778	D3ZMI8
P46778	D3ZIM9
P46778	P20280
P46778	ENSMUSP00000079127
P46778	O09167
Q9Z266	Q9Z266
Q9Z266	O95295
Q9Z266	P60192
P62861	P62861
P62861	P62862
P62861	P35545
P62861	Q05474
P62861	NP_001012757
Q15751	Q15751
Q15751	E9PZP8
Q15751	XP_001075834
Q15751	Q96I51
Q15751	Q96I51-3
Q15751	NP_001101802
Q15751	Q9CYF5
Q8CES0	Q8CES0
Q8CES0	Q147X3-2
Q8CES0	Q147X3
Q8CES0	D3ZWS6
XP_576354	XP_576354
XP_576354	B2RQE8
XP_576354	A6NI28
XP_576354	Q6Y5D8
XP_576354	A1A4S6
XP_576354	D4AB50
XP_576354	P0CAX5
XP_576354	Q99J31
XP_576354	O60890
XP_576354	Q6ZQ82
XP_576354	Q5ZMW5
XP_576354	Q9UNA1
XP_576354	D3ZMS4
XP_576354	Q9UNA1-2
Q6PGF5	Q6PGF5
Q6PGF5	NP_001094221
Q6PGF5	Q14692
NP_001101729	NP_001101729
NP_001101729	O43719
NP_001101729	Q8BGC0
NP_001101616	NP_001101616
NP_001101616	Q9C0D7
NP_001101616	Q5DTV4
NP_001101616	Q5D1E8
NP_001101616	Q5D1E7
NP_001101616	A0JPN4
NP_001101616	Q5HYM0
NP_001101616	G3X9I7
NP_001101616	Q8BIY3
NP_001101616	A2A288
E7EW31	E7EW31
E7EW31	F1M6Z4
E7EW31	Q3UKG2
Q9NP50	Q9NP50
Q9NP50	Q8C8M1
B1WC28	B1WC28
B1WC28	P04908
B1WC28	O75367-1
B1WC28	Q6FI13
B1WC28	P16104
B1WC28	Q9QZQ8-1
B1WC28	Q8IUE6
B1WC28	P27661
B1WC28	Q64522
B1WC28	P20671
B1WC28	Q16777
B1WC28	Q64523
B1WC28	Q99878
B1WC28	P0C0S8
B1WC28	P0CC09
B1WC28	Q96KK5
B1WC28	Q9P0M6
B1WC28	Q8CGP6
B1WC28	Q8CCK0
B1WC28	Q00728
B1WC28	P02263
B1WC28	Q9BTM1
B1WC28	Q8R1M2
B1WC28	A9UMV8
B1WC28	Q96QV6
B1WC28	C0HKE1
B1WC28	Q8CGP4
B1WC28	Q7L7L0
B1WC28	Q8BFU2
B1WC28	Q4FZT6
B1WC28	D3ZWE0
B1WC28	Q6GSS7
B1WC28	Q93077
B1WC28	Q8CGP5
B1WC28	D3ZXP3
B1WC28	Q8CGP7
B1WC28	P0C170
B1WC28	Q02874-1
B1WC28	Q02874
B1WC28	Q9QZQ8
B1WC28	O75367
B1WC28	P0C5Y9
B1WC28	P0C5Z0
NP_001013177	NP_001013177
NP_001013177	Q8N3X1-2
NP_001013177	Q8N3X1
NP_001013177	Q6ZQ03
O55222	O55222
O55222	Q99J82
O55222	Q13418
P54274	P54274
P54274	Q5EB98
P54274	P70371
D4A105	D4A105
D4A105	Q5T3F8-3
D4A105	D3Z2D8
D4A105	Q3TWI9
D4A105	Q5T3F8
D4A105	Q5T3F8-2
D4A105	O94886
D4A105	D4A2I3
D4A105	Q91YT8
D4A105	Q9P1W3
D4A105	D3ZNF5
D4A105	Q8CBX0
P97577	P97577
P97577	Q99689
P97577	Q8K0X8
P97577	Q9UHY8-2
P97577	Q6TYB5
P97577	P97578
P97577	Q9UHY8
P55207	P55207
P55207	P23582
P55207	Q61839
Q5DTM2	Q5DTM2
Q5DTM2	Q9BZF3-5
Q5DTM2	Q8BXR9
Q5DTM2	Q9BZF3
Q5DTM2	Q9BZF3-4
Q5DTM2	Q9BZF3-2
Q5DTM2	D4A0F3
Q5DTM2	Q9BZF3-3
Q5DTM2	Q9BZF2
Q5DTM2	D4A0G0
Q5DTM2	Q3TAX1
Q5DTM2	Q9H4L5
Q5DTM2	D3ZHZ3
Q5DTM2	D3Z194
Q5DTM2	Q9DBS9
Q5DTM2	Q9H4L5-2
Q5DTM2	D4A3H0
Q5DTM2	Q9H4L5-8
Q5DTM2	Q969R2
Q5DTM2	P16258
Q5DTM2	Q3B7Z2
Q5DTM2	P22059
Q5DTM2	ENSRNOP00000028595
Q5DTM2	Q5QNQ6
Q5DTM2	NP_001100702
P61621	P61621
P61621	D3ZEH3
P61621	P61619
P61621	P61620
P61621	P38377
P61621	Q9H9S3-3
P61621	Q9H9S3
P61621	Q9JLR1
Q641Y8	Q641Y8
Q641Y8	Q91VR5
Q641Y8	Q92499
Q9Z2P4	Q9Z2P4
Q9Z2P4	Q9H4X1
Q9Z2P4	Q9DBX1
Q9Z2P4	Q9H4X1-2
Q63ZY3-2	Q63ZY3-2
Q63ZY3-2	Q63ZY3
Q63ZY3-2	Q8BX02
Q63ZY3-2	D3ZD05
Q63ZY3-2	Q6NY19-1
Q63ZY3-2	Q6NY19
Q63ZY3-2	Q9Z1P7
Q63ZY3-2	B2RYN8
P0DMU9	P0DMU9
P0DMU9	P0DMU7
P0DMU9	P0DMV2
P0DMU9	P0DMV1
P0DMU9	P0DMU8
P0DMU9	Q5HYN5
P0DMU9	Q8NHU0
P0DMU9	Q5DJT8
P0DMU9	P0DMV0
Q6AYN1	Q6AYN1
Q6AYN1	D3YV92
Q6AYN1	Q8N9W8
Q14558-2	Q14558-2
Q14558-2	Q63468
Q14558-2	Q9D0M1
Q14558-2	Q14558
Q14558-2	O08618
Q14558-2	O60256-4
Q14558-2	O60256-2
Q14558-2	O60256-3
Q14558-2	Q8R574
Q14558-2	O60256
Q14558-2	P11908-2
