P03246	P03246
Q4R180	Q4R180
Q4R180	Q9UBD5
Q4R180	Q9JK30
Q4R180	Q9UBD5-2
O54747	O54747
O54747	P28340
O54747	P52431
D3ZV31	D3ZV31
D3ZV31	Q8BKW4
D3ZV31	Q9H5U6
P0DQW1	P0DQW1
Q9EPF2-2	Q9EPF2-2
Q9EPF2-2	NP_001004768
Q9EPF2-2	NP_076473
Q9EPF2-2	P43121
Q9EPF2-2	Q9R069
Q9EPF2-2	P50895
Q9EPF2-2	Q9ESS6
Q9EPF2-2	Q8R2Y2
P62082	P62082
P62082	P62081
P62082	P62083
O60756	O60756
A0A1B0GTY4	A0A1B0GTY4
P0DP43	P0DP43
P0DP43	A0A0A6YXX9
P0DP43	Q5SY80
P0DP43	E9Q9F6
P0DP43	Q86XM0
P0DP43	B5DFM7
O15225	O15225
A0A0D9SF12	A0A0D9SF12
A0A0D9SF12	A2AGD7
A0A0D9SF12	Q4KLX9
Q9BXW3	Q9BXW3
Q5U2P6	Q5U2P6
Q5U2P6	Q6P1B3
Q5U2P6	Q8IYJ0
A0A3B3IT52	A0A3B3IT52
A0A3B3IT52	Q3UTE2
A0A3B3IT52	A2BEI6
Q66HH0	Q66HH0
Q66HH0	Q9JIW4
Q66HH0	Q9NP87-3
Q66HH0	Q9QXE2
Q66HH0	P06766
Q66HH0	P09838
Q66HH0	Q9UGP5
Q66HH0	Q5RKI3
Q66HH0	P04053
Q66HH0	Q9NP87
Q66HH0	Q8K409
Q66HH0	P06746
Q66HH0	Q9NP87-2
Q9NPZ5	Q9NPZ5
Q9NPZ5	B2GV35
Q9NPZ5	Q9P2W7
Q9NPZ5	P59270
Q9NPZ5	Q9Z137
Q9NPZ5	P58158
Q9NPZ5	Q9CW73
Q9NPZ5	O35789
Q9NPZ5	O94766
Q9NPZ5	Q8BLT8
Q8BVG8	Q8BVG8
Q8BVG8	Q8WUY8
Q2KJD0	Q2KJD0
Q2KJD0	P69897
Q2KJD0	P99024
Q2KJD0	P07437
Q2KJD0	P68368
Q2KJD0	Q5XIF6
Q2KJD0	P68366
Q2KJD0	Q6AY56
Q2KJD0	Q9JJZ2
Q2KJD0	Q9NY65
Q2KJD0	Q3ZBU7
Q2KJD0	Q9D6F9
Q2KJD0	P04350
Q2KJD0	NP_543158
Q2KJD0	P68371
Q2KJD0	Q3MHM5
Q2KJD0	Q6P9T8
Q2KJD0	P68372
Q2KJD0	P05214
Q2KJD0	Q68FR8
Q2KJD0	P0DPH7
Q2KJD0	P0DPH8
Q2KJD0	Q3ZCM7
Q2KJD0	Q6B856
Q2KJD0	Q7TMM9
Q2KJD0	Q9CWF2
Q2KJD0	Q3KRE8
Q2KJD0	Q13885
Q2KJD0	Q9BVA1
Q2KJD0	P85108
Q2KJD0	P05213
Q2KJD0	P81947
Q2KJD0	P68363
Q2KJD0	Q6P9V9
Q2KJD0	Q71U36
Q2KJD0	P68369
Q2KJD0	P68370
Q2KJD0	P23258
Q2KJD0	Q2T9S0
Q2KJD0	Q13509
Q2KJD0	Q9ERD7
Q2KJD0	Q4QRB4
Q2KJD0	NP_001102006
Q2KJD0	Q6AYZ1
Q2KJD0	P68373
Q2KJD0	Q9BQE3
Q2KJD0	P83888
Q2KJD0	P83887
Q2KJD0	Q3UX10
Q2KJD0	Q9UJT1
Q2KJD0	Q9H4B7
Q2KJD0	A6NHL2
Q2KJD0	A2AQ07
Q2KJD0	Q9R1K7
Q2KJD0	Q9H853
Q2KJD0	Q922F4
Q2KJD0	Q4QQV0
Q2KJD0	Q9BUF5
Q2KJD0	Q9D6T1
