Q96MF0	Q96MF0
Q96QK8	Q96QK8
Q96QK8	Q91VT8
Q96QK8	Q498C7
Q96TL7	Q96TL7
Q9BQP9	Q9BQP9
Q9BYQ3	Q9BYQ3
Q9BYQ3	Q9BYQ4
Q9BYQ3	Q9BYQ5
Q9BYQ3	Q9D7N2
Q9BYQ3	Q9BYQ6
Q9BYQ3	Q9BYQ7
Q9BYQ3	Q9QZU5
Q9BYQ3	Q9BYQ8
Q9BYQ3	A8MXZ3
Q9BYQ3	Q9BYR2
Q9BYQ3	Q9BYR3
Q9BYQ3	P60410
Q9BYQ3	Q9BYR4
Q9BYQ3	Q9D638
Q9BYQ3	P60411
Q9BYQ3	Q9BYR8
Q9BYQ3	Q9BYS1
Q9BYQ3	A8MUX0
Q9BYQ3	P60369
Q9BYQ3	P60370
Q9BYQ3	P60371
Q9BYQ3	P60372
Q9BYQ3	Q3V2C1
Q9BYQ3	P60014
Q9BYQ3	P60412
Q9BYQ3	P60413
Q9BYQ3	A8MTY7
Q9BYQ3	Q3LI76
Q9BYQ3	Q3SY46
Q9BYQ3	Q9BQ66
Q9BYQ3	A2A591
Q9BYQ3	A2A5X5
Q9BYQ3	Q9BYP9
Q9BYQ3	O08640
Q9BYQ3	G5E9R7
Q9BYQ3	Q9BYQ0
Q9BYQ3	Q9BYQ2
Q9BYQ3	P60331
Q9CQR4	Q9CQR4
Q9CQR4	Q9NPJ3
Q9CWD0	Q9CWD0
Q9CWD0	Q8WW33
Q9D541	Q9D541
Q9D541	Q9D541
Q9D9T6	Q9D9T6
Q9FGK0	Q9FGK0
Q9FMV4	Q9FMV4
Q9FXC7	Q9FXC7
Q9FYE5	Q9FYE5
Q9FYE5	Q9SS40
Q9FYE5	Q9LDH3
Q9FYE5	Q9C521
Q9HCN2	Q9HCN2
Q9LJH2	Q9LJH2
Q9LJH2	P0CB42
Q9LJH2	F4JFR7
Q9LJH2	Q13686
Q9LU01	Q9LU01
Q9LZ00	Q9LZ00
P9WF13	P9WF13
P9WF13	P9WF15
P9WF13	P9WF14
