id,psp_length,pdb_structure_length,length_matches
A0A024R4G9,117,117,True
A0A075B759,164,164,True
A0A087WP46,1171,1202,False
A0A087WPF7,1261,1261,True
A0A087WQ89,206,206,True
A0A087WQP5,138,138,True
A0A087WR82,380,380,True
A0A096LP49,1063,1063,True
A0A096LP55,91,91,True
A0A096MIZ1,376,376,True
A0A096MJJ4,873,873,True
A0A096MJN4,459,459,True
A0A096MK47,966,807,False
A0A096MKA8,576,576,True
A0A0A6YY25,723,723,True
A0A0B4J1F3,663,663,True
A0A0B4J1G0,249,249,True
A0A0B4J1L0,234,234,True
A0A0B4J1M2,317,317,True
A0A0B4J2A2,164,164,True
A0A0B4J2F2,783,783,True
A0A0C4DFX5,354,354,True
A0A0G2JFH3,312,312,True
A0A0G2JTM7,652,652,True
A0A0G2JTR4,859,859,True
A0A0G2JTZ2,827,827,True
A0A0G2JUG7,962,962,True
A0A0G2JV04,727,727,True
A0A0G2JV12,1345,1345,True
A0A0G2JVL5,251,251,True
A0A0G2JVZ7,1511,1834,False
A0A0G2JXN2,759,759,True
A0A0G2JY22,1573,1573,True
A0A0G2JZ71,724,724,True
A0A0G2JZA1,1512,1512,True
A0A0G2K094,1258,1258,True
A0A0G2K0D3,595,595,True
A0A0G2K1J3,334,334,True
A0A0G2K1Q8,1704,1704,True
A0A0G2K344,1068,1068,True
A0A0G2K369,277,277,True
A0A0G2K3F3,579,704,False
A0A0G2K472,1251,1251,True
A0A0G2K475,1166,1166,True
A0A0G2K543,1082,1082,True
A0A0G2K719,662,662,True
A0A0G2K744,1374,1374,True
A0A0G2K7U7,1054,1054,True
A0A0G2K9M5,1118,1118,True
A0A0G2KA14,979,979,True
A0A0G2QC33,393,393,True
A0A0J9YU71,552,552,True
A0A0J9YUW3,581,581,True
A0A0J9YWL9,993,993,True
A0A0M3U1B0,842,842,True
A0A0R4J0D1,363,363,True
A0A0U1RPR8,1117,1117,True
A0A140LIF8,395,407,False
A0A1B0GTR3,108,108,True
A0A1D5RMD1,1437,1434,False
A0A1W2P872,492,492,True
A0A1W2P884,806,806,True
A0A286YCX6,1437,1437,True
A0A286YDN9,515,515,True
A0A2U3TZ82,627,627,True
A0A338P6K9,1788,1788,True
A0A494BA31,952,952,True
