J3KQB2	J3KQB2
Q8K0C4	Q8K0C4
Q8K0C4	Q16850
Q9H944	Q9H944
Q9H944	Q5XIE9
Q811V6	Q811V6
Q811V6	A2RRY8
Q811V6	Q496A3
Q6AYF1	Q6AYF1
Q6AYF1	Q8BKH7
Q6AYF1	Q9BPZ7
Q9BRK4	Q9BRK4
Q9BRK4	Q3LUD4
Q9BRK4	Q91YU6
Q7TMB9	Q7TMB9
P70178	P70178
P70178	Q8N196
P98200	P98200
P98200	Q9NTI2
P98200	P70704
P98200	Q9Y2Q0
P98200	XP_001070245
P98200	Q9Y2Q0-3
Q8TCU3	Q8TCU3
Q8TCU3	Q5RKI7
Q4G079	Q4G079
Q4G079	P31230
Q4G079	Q12904
Q9Y314	Q9Y314
Q9Y314	Q9D6T0
Q9GZS3	Q9GZS3
Q9UMX5	Q9UMX5
Q16653	Q16653
Q16873	Q16873
Q16873	Q60860
Q15776	Q15776
Q15776	Q8BSL0
Q14DQ1	Q14DQ1
Q14DQ1	Q5XKK7
Q5NCC9	Q5NCC9
Q5NCC9	Q8NG06
Q8TF68	Q8TF68
Q8TF68	E9Q1A5
A2AKY4	A2AKY4
A2AKY4	Q7Z570
Q5TGI0	Q5TGI0
Q5TGI0	Q3UMF9
Q8N357	Q8N357
Q8N357	Q8VE96
Q6P499	Q6P499
Q6P499	Q8C4E9
Q5JST6	Q5JST6
Q5JST6	Q9D485
Q9R0S3	Q9R0S3
Q9R0S3	Q9ULZ9
Q7LGA3	Q7LGA3
Q9DBI2	Q9DBI2
Q9DBI2	Q8TAM1
Q9H270	Q9H270
Q9H270	Q91W86
P58659	P58659
P58659	P58658
O95258	O95258
Q9ULS6	Q9ULS6
Q9ULS6	O35174
Q9ULS6	O35173
Q9ULS6	Q96KK3
Q14003	Q14003
Q14003	NP_446449
Q14003	Q63959
Q9BSF0	Q9BSF0
Q9NQX7	Q9NQX7
Q9NQX7	Q91VK4
Q9NQX7	Q5PQL7
A2AKB9	A2AKB9
A2AKB9	Q5QP82
A2AKB9	D4A8G6
Q9BPY3	Q9BPY3
Q9BPY3	Q8C569
Q92545	Q92545
Q92545	O70472
Q92545	XP_001056771
Q6P3V2	Q6P3V2
Q6P3V2	Q52M93
Q6P3V2	P10077
Q6P3V2	P51814
Q60764	Q60764
Q60821	Q60821
Q60821	Q13105
Q16842	Q16842
Q6FHJ7	Q6FHJ7
Q6FHJ7	Q9Z1N6
Q16518	Q16518
Q16518	Q91ZQ5
Q9WUH5	Q9WUH5
Q4KMG0	Q4KMG0
Q9NVC3	Q9NVC3
Q9NVC3	Q8BWH0
Q9P1Z2	Q9P1Z2
Q9P1Z2	Q8CGU1
A6X935	A6X935
A6X935	Q5EBC0
A6X935	Q14624
A6X935	Q14624-2
Q6P9X5	Q6P9X5
Q9JJQ0	Q9JJQ0
Q9JJQ0	Q92521
Q9NY97	Q9NY97
P51570	P51570
P51570	Q9R0N0
Q14201	Q14201
Q14201	O88677
Q810B6	Q810B6
Q810B6	Q9P2R3
Q810B6	XP_005220321
Q15833	Q15833
Q15833	Q64324
Q15833	Q62753
P97441	P97441
P97441	Q99726
P97441	Q6QIX3
Q80U12	Q80U12
Q80U12	O43147
Q80U12	Q80U12-2
Q80U12	O43147-2
Q80U12	D3ZAS2
Q80U12	Q8BPQ7
Q80U12	Q2NKQ1
Q8IVU9	Q8IVU9
Q02094	Q02094
Q02094	Q7TNK7
Q9NVD3	Q9NVD3
Q9HCJ1	Q9HCJ1
Q9HCJ1	Q9JHZ2
Q8VC19	Q8VC19
Q8VC19	P13196
Q8VC19	P22557
Q8VC19	P08680
Q8IWY4	Q8IWY4
Q8IWY4	Q66PY1
Q8IWY4	Q8IX30
Q8IWY4	Q9JJS0
Q8IWY4	Q9NQ36
O70421	O70421
O70421	Q9UP38
Q9Y231	Q9Y231
Q13491-4	Q13491-4
Q13491-4	P35803
O88704	O88704
O88704	O60741
O88704	Q9JKB0
Q86XR8	Q86XR8
Q86XR8	Q8CEE0
O43548	O43548
Q80Y32	Q80Y32
Q80Y32	XP_226315
Q80Y32	Q9UGU5
Q9H1D9	Q9H1D9
Q9H1D9	Q921X6
Q8N2Z9	Q8N2Z9
Q9BZE4	Q9BZE4
Q9BZE4	Q99ME9
Q9GZN0	Q9GZN0
Q99853	Q99853
Q9EP73	Q9EP73
Q9EP73	Q9NZQ7
Q86UE6	Q86UE6
Q69ZK9	Q69ZK9
Q69ZK9	Q8NFZ4
Q69ZK9	Q62888
Q69ZK9	Q9NZ94
Q69ZK9	Q8NFZ3
Q69ZK9	Q8BYM5
Q69ZK9	Q62889
Q69ZK9	Q8N0W4
Q69ZK9	Q62765
Q69ZK9	Q8N2Q7
Q69ZK9	Q99K10
Q66L44	Q66L44
Q66L44	Q8N350
Q61923	Q61923
Q61923	P17658
Q3UGP9	Q3UGP9
Q3UGP9	Q96CX6
A6H6E9	A6H6E9
Q7TNH6	Q7TNH6
Q7TNH6	Q7Z494
Q9Y4K3	Q9Y4K3
Q9Y4K3	P70196
Q9UBI4	Q9UBI4
Q16849	Q16849
Q16849	Q60673
Q16849	Q63259
O88196	O88196
O88196	P53804
Q9QYC1	Q9QYC1
Q9QYC1	Q96RV3
P56192	P56192
P56192	Q68FL6
P56192	D3Z941
P38405	P38405
P38405	Q8CGK7
P38405	P63094
P38405	P63092
P38405	P63095
O95980	O95980
O95980	Q9Z0J1
O55134	O55134
O55134	Q9NPG4
O55134	F1MA46
P35625	P35625
P17125	P17125
P17125	P10600
P17125	P27090
P17125	P61812
Q14512	Q14512
Q14512	Q9MZ06
Q9P2K5	Q9P2K5
Q9P2K5	Q8C854
Q9P2K5	Q9P2K5-2
Q9P2K5	D4AEI5
Q8BZQ2	Q8BZQ2
Q8BZQ2	Q9H0B8
Q8BZQ2	Q9H336
Q8BZQ2	Q8CGD2
Q91WE3	Q91WE3
Q91WE3	Q9BUL9
Q91WE3	Q5PPN2
Q9EQF6	Q9EQF6
Q9EQF6	Q9BPU6
Q9EQF6	Q9JHU0
Q9EQF6	O35098
Q9EQF6	O14531
Q9EQF6	Q62951
Q9EQF6	Q62952
Q9EQF6	Q62188
Q9EQF6	Q14195
Q9EQF6	Q62950
Q9EQF6	P97427
Q9EQF6	Q14194
Q9EQF6	P47942
Q9EQF6	Q90635
Q9EQF6	O08553
Q9EQF6	Q16555
P07357	P07357
P07357	D3ZWD6
P07357	Q8K182
Q6UXY1	Q6UXY1
Q6UXY1	Q80Y61
Q6UXY1	Q6UXY1-2
Q6UXY1	D4A901
Q8K1Q4	Q8K1Q4
Q8K1Q4	A2AHG0
Q8K1Q4	O60299
P63323	P63323
P63323	P25398
P63323	ENSRNOP00000048620
P27482	P27482
P27482	Q9D6P8
P27482	P0DP29
P27482	P0DP26
P27482	P0DP23
P27482	P62149
P27482	Q5U206
Q4KLM6	Q4KLM6
Q4KLM6	Q8IVL5
Q96JN0	Q96JN0
Q96JN0	Q6ZPI3
Q68FG1	Q68FG1
Q68FG1	Q9UHC1
Q68FG1	D4ADG4
Q8BVS1	Q8BVS1
Q8BVS1	O75689
Q8BVS1	O88768
Q99MV5	Q99MV5
Q99MV5	Q9BXT6
Q8BMK0	Q8BMK0
Q8BMK0	Q6P2H3
Q9H0R1	Q9H0R1
Q8IYK8	Q8IYK8
Q8IYK8	Q8VEL9
Q8IYK8	Q9WTY2
Q9P2B2	Q9P2B2
Q9P2B2	Q62786
Q9P2B2	Q9WV91
Q8TBB1	Q8TBB1
Q8TBB1	O70263
P35498	P35498
P35498	A2APX8
P35498	P35498-3
P35498	P04774
P35498	Q9ER60
P35498	P35499
P35498	P15390
P35498	Q9NY46
P35498	A2ASI5
P35498	Q9NY46-2
P35498	P08104
P35498	Q9UQD0
P35498	B1AWN6
P35498	O88420
P35498	Q9WTU3
P35498	Q15858-3
P35498	Q15858
P35498	IPI00476429
P35498	P04775
P35498	Q99250
P35498	F8VPQ7
P35498	Q62205
P35498	P15389
P35498	Q9JJV9
P35498	Q14524
P35498	Q9Y5Y9
P35498	Q62968
P35498	Q6QIY3
P38935	P38935
P38935	P40694
Q86WG5	Q86WG5
Q86WG5	E9PXF8
Q86WG5	O95248-4
Q86WG5	Q6ZPE2
Q86WG5	O95248
Q86WG5	XP_001054780
Q86WG5	Q6ZPE2-2
Q9HCJ5	Q9HCJ5
Q9HCJ5	Q9P217
Q9HCJ5	Q80TC6
Q9HCJ5	Q8C7B8
Q9DAK3	Q9DAK3
Q9DAK3	O94844
Q9DAK3	Q91V93
Q9DAK3	Q9BYZ6
Q9DAK3	Q5BJV7
P36957	P36957
P36957	Q9D2G2
Q14974	Q14974
Q14974	P70168
Q93015	Q93015
Q93015	Q9R123
Q93015	Q93015-2
Q93015	Q3KR83
Q8CDU6	Q8CDU6
Q8CDU6	Q5U5R9
Q9NUV9	Q9NUV9
P51124	P51124
Q0VGT2	Q0VGT2
Q0VGT2	P10070
Q6NVD0	Q6NVD0
Q6NVD0	Q5SZK8
Q9BS31	Q9BS31
P17032	P17032
Q9GZX5	Q9GZX5
Q9WU84	Q9WU84
Q9WU84	O14618
Q9WU84	Q9JK72
Q6WQJ1	Q6WQJ1
Q6WQJ1	Q9Y4D2
Q6WQJ1	Q5YLM1
Q969P5	Q969P5
Q969P5	Q8TCJ0
Q969P5	Q641X7
Q96CU9	Q96CU9
Q96CU9	Q3TQB2
Q9H6A0	Q9H6A0
Q9H3R5	Q9H3R5
Q9CXW2	Q9CXW2
Q9CXW2	P82650
O75031	O75031
O75031	XP_574729
Q6U7Q0	Q6U7Q0
Q6U7Q0	Q8BZ89
Q9H9B1	Q9H9B1
Q9H9B1	Q5DW34
Q9H9B1	NP_001102042
Q3U0P5	Q3U0P5
Q3U0P5	O75354
Q9NWU5	Q9NWU5
Q96C19	Q96C19
Q96C19	Q4FZY0
Q96C19	Q9D8Y0
Q96C19	Q9BUP0
Q8IWP9	Q8IWP9
Q9UQQ1	Q9UQQ1
Q9UQQ1	Q7M758
Q9UQQ1	O54697
O35926	O35926
O35926	Q13319
O35926	F1M491
Q8IW52	Q8IW52
Q8IW52	Q810B8
Q9CZY3	Q9CZY3
Q9CZY3	Q15819
Q9CZY3	Q13404
Q9CZY3	NP_001103815
Q9CR62	Q9CR62
Q9CR62	Q02978
Q9CR62	P97700
Q9CR62	XP_003131953
Q9NZE8	Q9NZE8
Q9NZE8	Q9CQL6
O75937	O75937
O75937	Q6NZB0
P25101	P25101
P25101	Q61614
P56199	P56199
P56199	Q3V3R4
P56199	P18614
P70122	P70122
P70122	Q9Y3A5
P70122	Q5RK30
Q9QYL7	Q9QYL7
Q9QYL7	Q9ULW3
Q3SX64	Q3SX64
P08648	P08648
P08648	P11688
Q91VL9	Q91VL9
Q91VL9	Q9Y2K1
Q91VL9	Q672J3
Q8N5I2	Q8N5I2
Q8N5I2	Q99KN1
Q8N5I2	B0BNL6
Q14108	Q14108
Q7TSC3	Q7TSC3
P78537	P78537
Q86VZ5	Q86VZ5
Q9QXY9	Q9QXY9
Q9QXY9	P56589
O60508	O60508
O75578	O75578
Q502W7	Q502W7
Q6Y2X3	Q6Y2X3
Q6Y2X3	Q921R4
Q6Y2X3	Q5XIX0
Q9CYI0	Q9CYI0
Q9CYI0	Q9HAS0
Q5TA45	Q5TA45
Q5TA45	Q9CWS4
O75603	O75603
Q9HAK2	Q9HAK2
Q9HAK2	O08792
Q9HAK2	Q9UH73
Q9HAK2	Q07802
Q9HAK2	Q8K4J2
Q9HAK2	Q9BQW3
Q9HAK2	O08791
Q9HAK2	Q9H4W6
Q8WWY8	Q8WWY8
O94772	O94772
Q96GC6	Q96GC6
Q8R124	Q8R124
Q8R124	Q8N4N3
Q92963	Q92963
Q92963	Q99578
Q92963	P70426
P19623	P19623
Q9QY66	Q9QY66
Q9QY66	Q9UHR6
Q92544	Q92544
O95447	O95447
O95447	Q8C0X0
Q9NX65	Q9NX65
Q8TD91	Q8TD91
Q0D2K2	Q0D2K2
Q96KP6	Q96KP6
Q60675	Q60675
Q60675	P24043
Q9BXL8	Q9BXL8
P49721	P49721
P49721	Q9R1P3
Q96K58	Q96K58
Q96K58	Q8K2R5
Q6MZZ7	Q6MZZ7
Q9CQ33	Q9CQ33
Q9CQ33	Q8N653
Q3KR99	Q3KR99
Q3KR99	Q923A2
Q3KR99	Q96EA4
Q38HM4	Q38HM4
Q38HM4	Q969Q1
Q38HM4	Q9BYV2
Q38HM4	Q9ERP3
P17405	P17405
O43315	O43315
O43315	P56627
